subject,session,run,task,file_number,has_pupil,has_gaze,has_eyemovie,has_log,empty_log,checked,DO_NOT_USE,no_pupil_data,pupilConf_thresh,Fails_DriftCorr,Pass_DriftCorr,Flag_someBadLevels,notes,FIX_IT?
sub-06,ses-001,run-02,task-mariostars,20220601-152940,TRUE,TRUE,FALSE,TRUE,TRUE,1,1,1,,,,,,
sub-06,ses-001,run-03,task-mariostars,20220601-152940,TRUE,TRUE,FALSE,TRUE,TRUE,1,1,1,,,,,,
sub-06,ses-001,run-01,task-mariostars,20220601-161343,TRUE,TRUE,FALSE,TRUE,TRUE,1,1,1,,,,,,
sub-06,ses-002,run-01,task-mariostars,20220622-153535,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,1,Drops in y: head motion,
sub-06,ses-002,run-02,task-mariostars,20220622-153535,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-06,ses-002,run-03,task-mariostars,20220622-153535,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-06,ses-003,run-01,task-mariostars,20220629-151938,TRUE,TRUE,TRUE,TRUE,TRUE,1,,,,,1,,,
sub-06,ses-003,run-02,task-mariostars,20220629-151938,TRUE,TRUE,TRUE,TRUE,TRUE,1,,,,,1,,,
sub-06,ses-003,run-03,task-mariostars,20220629-151938,TRUE,TRUE,TRUE,TRUE,TRUE,1,,,,,1,,,
sub-06,ses-003,run-04,task-mariostars,20220629-151938,TRUE,TRUE,TRUE,TRUE,TRUE,1,,,,,1,1,important drift in y,
sub-06,ses-004,run-01,task-mariostars,20220713-152455,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-06,ses-004,run-02,task-mariostars,20220713-152455,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-06,ses-004,run-03,task-mariostars,20220713-152455,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,,,
sub-06,ses-004,run-04,task-mariostars,20220713-152455,TRUE,TRUE,TRUE,TRUE,FALSE,1,,,,,1,1,small patch of low conf,
sub-06,ses-005,run-01,task-mariostars,20220720-145808,TRUE,TRUE,TRUE,TRUE,TRUE,1,,,,,1,,duplicate of run and session,
sub-06,ses-005,run-02,task-mariostars,20220720-145808,TRUE,TRUE,TRUE,TRUE,TRUE,1,,,,,1,,,
sub-06,ses-005,run-03,task-mariostars,20220720-145808,TRUE,TRUE,TRUE,TRUE,TRUE,1,,,,,1,,,
sub-06,ses-005,run-04,task-mariostars,20220720-145808,TRUE,TRUE,TRUE,TRUE,TRUE,1,,,,,1,,,
